1.012015605459705512e+03,7.524747720954709393e+02
1.057321707692327664e+03,7.521898280562720629e+02
1.119439508237683867e+03,7.464909472722944201e+02
1.178707868391051306e+03,7.453511711154989143e+02
1.232562291799639979e+03,7.444963389979022850e+02
9.458727396159870295e+02,3.879699970172870280e+02
9.937742489394582890e+02,3.870774223093961837e+02
1.057742103004963383e+03,3.826145487699423597e+02
1.119032232946796285e+03,3.832095985752029037e+02
1.173479290128133243e+03,3.846972230883541783e+02
1.229097414544408821e+03,3.876756309327334975e+02
1.277233510810338430e+03,3.886998031937107498e+02
1.340049409483608542e+03,3.873342401790744134e+02
1.401841135895901516e+03,3.907481477156651977e+02
1.456122265727694639e+03,3.948448367595741502e+02
9.014133195386042416e+02,6.285375754633947736e+02
9.468357040813407366e+02,6.257939414977261094e+02
1.008110195981273819e+03,6.218309146584269911e+02
1.065421661041907782e+03,6.209163700032040651e+02
1.118770099263242400e+03,6.206115217847964232e+02
1.467326047109657338e+03,7.267763805535898882e+02
1.511598134063222460e+03,7.315539438939026695e+02
1.574980474378038480e+03,7.366500114569029165e+02
1.634859268243292036e+03,7.449311212467783889e+02
1.689960498768232810e+03,7.532122310366538613e+02
3.097911490783476438e+02,5.510866342097001507e+02
3.578376064313054599e+02,5.546721907285775615e+02
4.205848455116608875e+02,5.543136350766898204e+02
4.783123054655878263e+02,5.593334142031183092e+02
5.324542089006373544e+02,5.639946376776589432e+02
9.221849019254992754e+02,2.844013717971789674e+02
9.666759803989423290e+02,2.858365678769673650e+02
1.028389411829847177e+03,2.901421561163328988e+02
1.087232451101175002e+03,2.958829404354868302e+02
1.140334706053349009e+03,3.030589208344292729e+02
4.067932024438703138e+02,5.433738551840666560e+02
4.761127906447537157e+02,5.502627583593097143e+02
5.488768304332586467e+02,5.562905486376474755e+02
6.216408702217636346e+02,5.562905486376474755e+02
6.737382004845394476e+02,5.597350002252690047e+02
8.720762554803848161e+02,5.269105838235534520e+02
9.308962050486563840e+02,5.360814361755957407e+02
9.941434626489483435e+02,5.433548707996293388e+02
1.057390720249240303e+03,5.471497062556468336e+02
1.102928745721450468e+03,5.522094868636702358e+02
1.537195699953359735e+03,5.661547388439757924e+02
1.595531644686474237e+03,5.779460468219457425e+02
1.656349970046529734e+03,5.909785451133861898e+02
1.719340378455158543e+03,5.971844966807387891e+02
1.764643824896832484e+03,6.055625312966648153e+02
3.815881310159680879e+02,5.358637202966493760e+02
4.537078208092024170e+02,5.421349976699741546e+02
5.268727234979909326e+02,5.494514879388530062e+02
6.016054455301107282e+02,5.499740943866299858e+02
6.543886967555938554e+02,5.541549459688465049e+02
